ID,DT_Dec,Year_Dec,Month_Dec,Day_Dec,DEC,Flag_Approved,Channel,Age,State,Income,Spend @M4,
6741,10/12/2022,2022,12,10,A,1,TMK,43,Queretaro," 5,455 "," 9,487 ",
6742,28/12/2022,2022,12,28,A,1,ONLINE,36,Jalisco," 1,818 "," 1,836 ",
6743,10/12/2022,2022,12,10,A,1,TMK,34,Quintana Roo," 1,091 ", 854 ,
6744,20/12/2022,2022,12,20,A,1,TMK,48,Guanajuato," 2,121 ", 841 ,
6745,09/12/2022,2022,12,9,A,1,ONLINE,40,," 2,909 "," 1,437 ",
6746,24/11/2022,2022,11,24,A,1,ONLINE,30,Veracruz de Ignacio de la Llave," 1,030 ", 715 ,
6747,04/10/2022,2022,10,4,A,1,TMK,44,Sinaloa, 970 ," 2,314 ",
6748,21/09/2022,2022,9,21,A,1,ONLINE,33,," 1,091 ", 968 ,
6749,07/10/2022,2022,10,7,A,1,ONLINE,58,Jalisco," 1,697 "," 1,961 ",
6750,17/11/2022,2022,11,17,A,1,TMK,75,Guanajuato," 1,515 ", 648 ,
6751,23/09/2022,2022,9,23,A,1,ONLINE,33,Jalisco," 3,030 "," 2,213 ",
6752,28/11/2022,2022,11,28,A,1,ONLINE,47,Hidalgo," 1,636 ", 686 ,
6753,23/09/2022,2022,9,23,A,1,TMK,46,Ciudad de Mexico," 5,152 "," 4,564 ",
6754,24/11/2022,2022,11,24,A,1,ONLINE,64,Estado de Mexico," 3,030 "," 7,546 ",
6755,04/10/2022,2022,10,4,A,1,TMK,39,Estado de Mexico," 1,818 ", 268 ,
6756,15/09/2022,2022,9,15,A,1,TMK,36,Jalisco," 1,758 ", 884 ,
6757,01/09/2022,2022,9,1,A,1,TMK,56,," 4,242 "," 1,143 ",
6758,25/11/2022,2022,11,25,A,1,TMK,35,Jalisco," 4,848 "," 3,272 ",
6759,28/11/2022,2022,11,28,A,1,ONLINE,50,Estado de Mexico, 970 , 342 ,
6760,24/11/2022,2022,11,24,A,1,ONLINE,43,Sonora," 1,091 ", 563 ,
6761,01/09/2022,2022,9,1,A,1,TMK,57,," 2,545 ", 695 ,
6762,19/09/2022,2022,9,19,A,1,TMK,42,Sonora," 1,758 ", 232 ,
6763,07/10/2022,2022,10,7,A,1,ONLINE,42,Quintana Roo," 2,545 "," 3,609 ",
6764,12/10/2022,2022,10,12,A,1,TMK,73,Baja California," 1,515 "," 1,598 ",
6765,25/11/2022,2022,11,25,A,1,ONLINE,42,Ciudad de Mexico," 9,091 "," 5,054 ",
6766,31/10/2022,2022,10,31,A,1,TMK,45,Michoacan de Ocampo," 1,515 ", 964 ,
6767,04/10/2022,2022,10,4,A,1,TMK,55,Estado de Mexico," 2,121 ", 136 ,
6768,30/09/2022,2022,9,30,A,1,ONLINE,41,Ciudad de Mexico," 1,455 "," 3,046 ",
6769,04/11/2022,2022,11,4,A,1,TMK,57,Baja California," 5,152 ", 787 ,
6770,17/11/2022,2022,11,17,A,1,ONLINE,47,Baja California," 2,121 ", 154 ,
6771,31/10/2022,2022,10,31,A,1,TMK,83,Ciudad de Mexico," 4,242 "," 3,636 ",
6772,26/10/2022,2022,10,26,A,1,ONLINE,49,Ciudad de Mexico," 54,545 "," 5,958 ",
6773,01/09/2022,2022,9,1,A,1,TMK,48,," 60,606 "," 12,287 ",
6774,01/09/2022,2022,9,1,A,1,TMK,45,," 2,424 "," 1,258 ",
6775,15/10/2022,2022,10,15,A,1,ONLINE,38,Sonora," 1,697 "," 1,209 ",
6776,07/10/2022,2022,10,7,A,1,TMK,68,," 1,812 ", 206 ,
6777,25/11/2022,2022,11,25,A,1,TMK,57,Estado de Mexico," 5,152 "," 3,194 ",
