Area,Province,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Revision_Date_Date_revision
"Senior managers - health, education, social and community services and membership organizations",QC,Laurentides,15.37,34.56,64.92,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Outaouais,17.97,40.07,75.3,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Abitibi-Témiscamingue,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Mauricie,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Saguenay--Lac-Saint-Jean,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Côte-Nord,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Nord-du-Québec,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Ontario,21.36,48.85,107.81,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Ottawa,25.44,50.24,99.41,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Kingston--Pembroke,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Muskoka--Kawarthas,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Toronto,18.86,53.46,123.68,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Kitchener--Waterloo--Barrie,22.46,45.67,104.82,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Hamilton--Niagara Peninsula,20.25,48.08,109.49,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,London,26.06,50.75,88.14,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Windsor--Sarnia,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Stratford--Bruce Peninsula,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Northeast,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",ON,Northwest,26.89,44.83,83.04,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,Manitoba,21.67,39.68,74.27,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,Southeast,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,South Central,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,Southwest,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,North Central,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,Winnipeg,22.37,42.38,79.29,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,Interlake,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,Parklands,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",MB,North,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",SK,Saskatchewan,26.57,47.08,101.39,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",SK,Regina--Moose Mountain,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",SK,Swift Current--Moose Jaw,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",SK,Saskatoon--Biggar,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",SK,Yorkton--Melville,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",SK,Prince Albert,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",SK,Northern,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Alberta,22.92,49.93,103.41,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Lethbridge--Medicine Hat,21.93,48.35,96.81,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Camrose--Drumheller,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Calgary,22.36,57.99,118.02,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Banff--Jasper--Rocky Mountain House,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Red Deer,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Edmonton,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Athabasca--Grande Prairie--Peace River,23.89,46.65,99.42,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",AB,Wood Buffalo--Cold Lake,,,,2019-11-04
